author,book_count,avg_rating
Muriel Barbery,1,4.0
Chris Cleave,1,4.1
Ian K. Smith M.D.,1,4.1
Pierre Dukan,1,4.1
Elizabeth Strout,1,4.2
Geneen Roth,1,4.2
Mark Hyman M.D.,1,4.2
Mark Twain,1,4.2
Michael Wolff,1,4.2
Rob Bell,1,4.2
Gayle Forman,1,4.3
Howard Stern,1,4.3
Kevin Kwan,1,4.3
Khaled Hosseini,1,4.3
Margaret Atwood,1,4.3
Mike Moreno,1,4.3
Paula McLain,1,4.3
Tina Fey,1,4.3
Adam Gasiewski,1,4.4
Audrey Niffenegger,1,4.4
Bob Woodward,1,4.4
Cheryl Strayed,1,4.4
Eric Larson,1,4.4
Heidi Murkoff,1,4.4
John Heilemann,1,4.4
Jon Stewart,1,4.4
Michael Pollan,1,4.4
Paper Peony Press,1,4.4
Adult Coloring Book Designs,1,4.5
Alex Michaelides,1,4.5
Celeste Ng,1,4.5
Coloring Books for Adults,1,4.5
Daniel H. Pink,1,4.5
Edward M. Kennedy,1,4.5
James Dashner,1,4.5
Jay Asher,1,4.5
Jon Meacham,1,4.5
Keith Richards,1,4.5
Ken Follett,1,4.5
Madeleine L'Engle,1,4.5
Peter A. Lillback,1,4.5
Sara Gruen,1,4.5
Steven D. Levitt,1,4.5
Thomas Piketty,1,4.5
Angie Grace,1,4.6
Brian Kilmeade,1,4.6
Charles Duhigg,1,4.6
Chip Heath,1,4.6
Chris Kyle,1,4.6
Christina Baker Kline,1,4.6
Christopher Paolini,1,4.6
David Grann,1,4.6
David Perlmutter MD,1,4.6
Edward Klein,1,4.6
F. A. Hayek,1,4.6
George W. Bush,1,4.6
Hillary Rodham Clinton,1,4.6
Jaycee Dugard,1,4.6
Jonathan Cahn,1,4.6
Larry Schweikart,1,4.6
M Prefontaine,1,4.6
Mark Owen,1,4.6
Marty Noble,1,4.6
Pretty Simple Press,1,4.6
Sarah Palin,1,4.6
Sasha O'Hara,1,4.6
Steve Harvey,1,4.6
Tatiana de Rosnay,1,4.6
The Staff of The Late Show with,1,4.6
The Washington Post,1,4.6
Tony Hsieh,1,4.6
Admiral William H. McRaven,1,4.7
Allie Brosh,1,4.7
Amor Towles,1,4.7
Andy Weir,1,4.7
Bill Simmons,1,4.7
Bruce Springsteen,1,4.7
Charles Krauthammer,1,4.7
Chrissy Teigen,1,4.7
Dave Ramsey,1,4.7
David McCullough,1,4.7
Dinah Bucholz,1,4.7
Elie Wiesel,1,4.7
George Orwell,1,4.7
JJ Smith,1,4.7
James Comey,1,4.7
Jordan B. Peterson,1,4.7
Justin Halpern,1,4.7
Mary Ann Shaffer,1,4.7
Michael Lewis,1,4.7
Neil deGrasse Tyson,1,4.7
Paulo Coelho,1,4.7
Randall Munroe,1,4.7
Randy Pausch,1,4.7
Thomas Campbell,1,4.7
Adam Mansbach,1,4.8
Adir Levy,1,4.8
Alan Moore,1,4.8
Amy Shields,1,4.8
Angie Thomas,1,4.8
Anthony Bourdain,1,4.8
Atul Gawande,1,4.8
Bessel van der Kolk M.D.,1,4.8
Brené Brown,1,4.8
Crispin Boyer,1,4.8
David Goggins,1,4.8
Delegates of the Constitutional,1,4.8
Delia Owens,1,4.8
Golden Books,1,4.8
Hopscotch Girls,1,4.8
